Date,Description,Amount,Running Bal.
03/01/2025,CLIENT PAYMENT JOHNSON LLC,5000.00,25000.00
03/02/2025,RENT PAYMENT MAIN ST PROPERTIES,-2200.00,22800.00
03/03/2025,AMAZON BUSINESS SUPPLIES,-340.50,22459.50
03/04/2025,CLIENT PAYMENT SMITH CORP,3200.00,25659.50
03/05/2025,AT&T BUSINESS PHONE,-120.00,25539.50
03/06/2025,GOOGLE ADS,-450.00,25089.50
03/07/2025,PAYROLL ADP,-4500.00,20589.50
03/10/2025,CLIENT PAYMENT DAVIS INC,2800.00,23389.50
03/11/2025,COMCAST INTERNET,-89.00,23300.50
03/12/2025,INSURANCE PROGRESSIVE BIZ,-310.00,22990.50
03/13/2025,AMAZON BUSINESS SUPPLIES,-215.00,22775.50
03/14/2025,CLIENT PAYMENT WILSON CO,4100.00,26875.50
03/17/2025,FACEBOOK ADS,-380.00,26495.50
03/18/2025,RESTAURANT TEAM LUNCH,-145.00,26350.50
03/19/2025,STRIPE MERCHANT FEE,-87.50,26263.00
03/20/2025,CLIENT PAYMENT BROWN LLC,3500.00,29763.00
03/21/2025,PAYROLL ADP,-4500.00,25263.00
03/24/2025,GAS SHELL,-65.00,25198.00
03/25/2025,CLIENT PAYMENT TAYLOR INC,2200.00,27398.00
03/26/2025,GOOGLE WORKSPACE,-18.00,27380.00
03/27/2025,AMAZON BUSINESS SUPPLIES,-175.00,27205.00
03/28/2025,UBER BUSINESS TRAVEL,-55.00,27150.00
03/31/2025,BANK SERVICE FEE,-25.00,27125.00
04/01/2025,CLIENT PAYMENT JOHNSON LLC,5000.00,32125.00
04/02/2025,RENT PAYMENT MAIN ST PROPERTIES,-2200.00,29925.00
04/03/2025,AMAZON BUSINESS SUPPLIES,-290.00,29635.00
04/04/2025,CLIENT PAYMENT GARCIA CO,4500.00,34135.00
04/07/2025,PAYROLL ADP,-4500.00,29635.00
04/08/2025,AT&T BUSINESS PHONE,-120.00,29515.00
04/09/2025,GOOGLE ADS,-520.00,28995.00
04/10/2025,CLIENT PAYMENT SMITH CORP,3200.00,32195.00
04/11/2025,INSURANCE PROGRESSIVE BIZ,-310.00,31885.00
04/14/2025,CLIENT PAYMENT MILLER INC,2900.00,34785.00
04/15/2025,COMCAST INTERNET,-89.00,34696.00
04/16/2025,STRIPE MERCHANT FEE,-112.00,34584.00
04/17/2025,FACEBOOK ADS,-400.00,34184.00
04/18/2025,PAYROLL ADP,-4500.00,29684.00
04/21/2025,CLIENT PAYMENT WILSON CO,3800.00,33484.00
04/22/2025,RESTAURANT CLIENT DINNER,-220.00,33264.00
04/23/2025,AMAZON BUSINESS SUPPLIES,-195.00,33069.00
04/24/2025,GAS SHELL,-70.00,32999.00
04/25/2025,CLIENT PAYMENT DAVIS INC,2600.00,35599.00
04/28/2025,GOOGLE WORKSPACE,-18.00,35581.00
04/29/2025,UBER BUSINESS TRAVEL,-45.00,35536.00
04/30/2025,BANK SERVICE FEE,-25.00,35511.00
